id,name,birthday,nationality
1,Tom Hanks,1956-07-09,USA
2,Julia Roberts,1967-10-28,USA
3,Wagner Moura,1976-06-27,BR
4,Sandra Bullock,1964-07-26,USA
5,Gisele Bündchen,1980-07-20,BR
6,Denzel Washington,1954-12-28,USA
7,Camila Mendes,1994-06-29,BR
8,Brad Pitt,1963-12-18,USA
9,Fernanda Montenegro,1929-10-16,BR
10,Leonardo DiCaprio,1974-11-11,USA
11,Chris Evans,1981-06-13,USA
12,Gloria Pires,1963-08-23,BR
13,Meryl Streep,1949-06-22,USA
14,Robert Downey Jr.,1965-04-04,USA
15,Taís Araújo,1978-11-25,BR
16,Matt Damon,1970-10-08,USA
17,Cauã Reymond,1980-05-20,BR
18,Angelina Jolie,1975-06-04,USA
19,Rodrigo Santoro,1975-08-22,BR
20,Emma Stone,1988-11-06,USA
21,Chris Pratt,1979-06-21,USA
22,Anne Hathaway,1982-11-12,USA
23,Matthew McConaughey,1969-11-04,USA
24,Halle Berry,1966-08-14,USA
25,Samuel L. Jackson,1948-12-21,USA
26,Ryan Reynolds,1976-10-23,USA
27,Jessica Chastain,1977-03-24,USA
28,Morgan Freeman,1937-06-01,USA
29,Amy Adams,1974-08-20,USA
30,Jennifer Lawrence,1990-08-15,USA
31,Will Smith,1968-09-25,USA
32,Chadwick Boseman,1976-11-29,USA
33,Reese Witherspoon,1976-03-22,USA
34,Viola Davis,1965-08-11,USA
35,Bryan Cranston,1956-03-07,USA
36,Steve Carell,1962-08-16,USA
37,Tina Fey,1970-05-18,USA
38,Octavia Spencer,1970-05-25,USA
39,Ethan Hawke,1970-11-06,USA
40,Alice Braga,1983-04-15,BR
41,Lázaro Ramos,1978-11-01,BR
42,Mariana Ximenes,1981-04-26,BR
43,Selton Mello,1972-12-30,BR
44,Débora Falabella,1979-02-22,BR
45,José Loreto,1984-05-27,BR
46,Bianca Comparato,1985-11-19,BR
47,Maria Casadevall,1987-07-24,BR
48,Chay Suede,1992-06-30,BR
49,Rodrigo Lombardi,1976-10-15,BR
50,Caio Castro,1989-01-22,BR
51,Juliana Paes,1979-03-26,BR
52,Letícia Colin,1989-12-30,BR
53,Thiago Lacerda,1978-01-19,BR
54,Fábio Assunção,1971-08-10,BR
55,Giovanna Ewbank,1986-09-14,BR
56,Camila Pitanga,1977-06-14,BR
57,Cleo Pires,1982-10-02,BR
58,Murilo Benício,1971-07-13,BR
59,Paul Rudd,1969-04-06,USA
60,Zendaya,1996-09-01,USA
61,Channing Tatum,1980-04-26,USA
62,Scarlett Johansson,1984-11-22,USA
63,Joaquin Phoenix,1974-10-28,USA
64,Adam Driver,1983-11-19,USA
65,Margot Robbie,1990-07-02,USA
66,Tom Holland,1996-06-01,USA
67,Gal Gadot,1985-04-30,USA
68,Timothée Chalamet,1995-12-27,USA
69,Florence Pugh,1996-01-03,USA
70,Lupita Nyong'o,1983-03-01,USA
71,Jared Leto,1971-12-26,USA
72,Keanu Reeves,1964-09-02,USA
73,Jeff Bridges,1949-12-04,USA
74,Mahershala Ali,1974-02-16,USA
75,Elisabeth Moss,1982-07-24,USA
76,Jason Momoa,1979-08-01,USA
77,Winona Ryder,1971-10-29,USA
78,Christina Ricci,1980-02-12,USA
79,Eddie Murphy,1961-04-03,USA
80,Rami Malek,1981-05-12,USA
81,Glenn Close,1947-03-19,USA
82,Dakota Johnson,1989-10-04,USA
83,Zoë Kravitz,1988-12-01,USA
84,Jake Gyllenhaal,1980-12-19,USA
85,Tessa Thompson,1983-10-03,USA
86,Michael B. Jordan,1987-02-09,USA
87,Jennifer Aniston,1969-02-11,USA
88,Benedict Cumberbatch,1976-07-19,USA
89,Daniel Kaluuya,1989-02-24,USA
90,Jonah Hill,1983-12-20,USA
91,Liv Tyler,1977-07-01,USA
92,Kirsten Dunst,1982-04-30,USA
93,Mila Kunis,1983-08-14,USA
94,Ashton Kutcher,1978-02-07,USA
95,Zoe Saldana,1978-06-19,USA
96,Natalie Portman,1981-06-09,USA
97,Christian Bale,1974-01-30,USA
