name,birthday,nationality
Alice Braga,1983-04-15,BR
Lázaro Ramos,1978-11-01,BR
Mariana Ximenes,1981-04-26,BR
Selton Mello,1972-12-30,BR
Débora Falabella,1979-02-22,BR
José Loreto,1984-05-27,BR
Bianca Comparato,1985-11-19,BR
Maria Casadevall,1987-07-24,BR
Chay Suede,1992-06-30,BR
Rodrigo Lombardi,1976-10-15,BR
Taís Araújo,1978-11-25,BR
Caio Castro,1989-01-22,BR
Juliana Paes,1979-03-26,BR
Letícia Colin,1989-12-30,BR
Thiago Lacerda,1978-01-19,BR
Fábio Assunção,1971-08-10,BR
Giovanna Ewbank,1986-09-14,BR
Camila Pitanga,1977-06-14,BR
Cleo Pires,1982-10-02,BR
Murilo Benício,1971-07-13,BR
