name,birthday,nationality
Emma Stone,1988-11-06,USA
Chris Pratt,1979-06-21,USA
Anne Hathaway,1982-11-12,USA
Matthew McConaughey,1969-11-04,USA
Halle Berry,1966-08-14,USA
Samuel L. Jackson,1948-12-21,USA
Ryan Reynolds,1976-10-23,USA
Jessica Chastain,1977-03-24,USA
Morgan Freeman,1937-06-01,USA
Amy Adams,1974-08-20,USA
Jennifer Lawrence,1990-08-15,USA
Will Smith,1968-09-25,USA
Chadwick Boseman,1976-11-29,USA
Reese Witherspoon,1976-03-22,USA
Viola Davis,1965-08-11,USA
Bryan Cranston,1956-03-07,USA
Steve Carell,1962-08-16,USA
Tina Fey,1970-05-18,USA
Octavia Spencer,1970-05-25,USA
Ethan Hawke,1970-11-06,USA
